Input,Label,Output,Auto Check Results,Human Check Results
"Is there a faster shipping option than 2-Day Air, and how much does it cost? ",5. Next Day Air: - Delivery: 1 business day - Cost: $179,"===\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\n===\n",0,1
What are the processing times for orders before shipment? ,Order processing: 24-48 hours.,"===\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\n===\n",1,1
"For APO/FPO addresses, how is the delivery time determined? ",APO/FPO Shipping (US Postal): - Delivery: Varies (destination dependent),"===\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\n===\n",0,1
How much does Ground Service shipping cost and what is its delivery time? ,2. Ground Service: - Delivery: 3-5 business days - Cost: $75,"===\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\n===\n",0,1
"If I need my PC delivered in two business days, which shipping option should I choose and what will it cost? ",4. 2-Day Air: - Delivery: 2 business days - Cost: $125,"===\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\n===\n",0,1
Are shipping costs refundable? ,Shipping costs are non-refundable.,"===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\nWarranty Policy\n\nOverview:\n- Purpose: To provide assurance for pre-built desktop computer purchases from DUMMY_PC.\n- Scope: Covers repair or replacement costs for covered issues.\n\n===\n",1,1
How can I contact customer service for more inquiries about shipping? ,Contact customer service for shipping inquiries.,"===\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\nWarranty Claim Process:\n1. Obtain RMA Number:\n   - Contact: Customer Service for issue reporting and RMA number.\n   - Requirement: Display RMA number on package.\n2. Packaging and Shipping:\n   - Packaging: Secure to prevent transit damage.\n   - Address: DUMMY_PC, Attn: RMA#_______, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n   - Recommendation: Use traceable, insured shipping method. DUMMY_PC not liable for transit damage/loss.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\n===\n",1,1
What does the standard warranty from DUMMY_PC cover?,Coverage: Defects in materials or workmanship under normal use.,"===\nFinancing is not available. \n\nNo discounts or promotions going on right now. \n\nNo bundle deal for any PC. \n\nThere will be a free gaming mouse and a gaming keyboard comes with any type of pre-build system. \n\nUpgradability: All PCs were built using common consumer-level parts. Customers will be capable of upgrading any parts later. \n\nWe only sell Pre-built PCs currently, and no PC parts available for sell. \n\nTo place an order, customer can go to the website 'DUMMY_PC.com', and purchase the PC they want. All products come with one year warranty, and an extra warranty is available at extra spend. The warranty price will be calculated during the purchase. \n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nWarranty Exclusions:\n- Not covered: Issues not due to material/workmanship defects, unauthorized modifications, improper use, negligence, accidents, or causes beyond DUMMY_PC's control.\n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\n===\n",0,0
How long is the extended warranty available for?,3-Year Warranty ($309): Duration: 3 years from purchase date.,"===\nFinancing is not available. \n\nNo discounts or promotions going on right now. \n\nNo bundle deal for any PC. \n\nThere will be a free gaming mouse and a gaming keyboard comes with any type of pre-build system. \n\nUpgradability: All PCs were built using common consumer-level parts. Customers will be capable of upgrading any parts later. \n\nWe only sell Pre-built PCs currently, and no PC parts available for sell. \n\nTo place an order, customer can go to the website 'DUMMY_PC.com', and purchase the PC they want. All products come with one year warranty, and an extra warranty is available at extra spend. The warranty price will be calculated during the purchase. \n\nWarranty Coverage:\n1. Standard Warranty (1-Year, $0):\n   - Validity: 1 year from purchase date.\n   - Coverage: Defects in materials or workmanship under normal use.\n   - Service: Repair or replace defective parts at no charge.\n2. Extended Warranty Options:\n   - 2-Year Warranty ($159):\n     - Duration: 2 years from purchase date.\n     - Benefits: Same as Standard Warranty.\n   - 3-Year Warranty ($309):\n     - Duration: 3 years from purchase date.\n     - Benefits: Same as Standard Warranty.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\n===\n",0,1
What is the price of a 3-Year Warranty?,3-Year Warranty ($309).,"===\nFinancing is not available. \n\nNo discounts or promotions going on right now. \n\nNo bundle deal for any PC. \n\nThere will be a free gaming mouse and a gaming keyboard comes with any type of pre-build system. \n\nUpgradability: All PCs were built using common consumer-level parts. Customers will be capable of upgrading any parts later. \n\nWe only sell Pre-built PCs currently, and no PC parts available for sell. \n\nTo place an order, customer can go to the website 'DUMMY_PC.com', and purchase the PC they want. All products come with one year warranty, and an extra warranty is available at extra spend. The warranty price will be calculated during the purchase. \n\nWarranty Coverage:\n1. Standard Warranty (1-Year, $0):\n   - Validity: 1 year from purchase date.\n   - Coverage: Defects in materials or workmanship under normal use.\n   - Service: Repair or replace defective parts at no charge.\n2. Extended Warranty Options:\n   - 2-Year Warranty ($159):\n     - Duration: 2 years from purchase date.\n     - Benefits: Same as Standard Warranty.\n   - 3-Year Warranty ($309):\n     - Duration: 3 years from purchase date.\n     - Benefits: Same as Standard Warranty.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\n===\n",0,1
Are unauthorized modifications covered by the warranty?,"Not covered: Issues not due to material/workmanship defects, unauthorized modifications, improper use, negligence, accidents, or causes beyond DUMMY_PC's control.","===\nFinancing is not available. \n\nNo discounts or promotions going on right now. \n\nNo bundle deal for any PC. \n\nThere will be a free gaming mouse and a gaming keyboard comes with any type of pre-build system. \n\nUpgradability: All PCs were built using common consumer-level parts. Customers will be capable of upgrading any parts later. \n\nWe only sell Pre-built PCs currently, and no PC parts available for sell. \n\nTo place an order, customer can go to the website 'DUMMY_PC.com', and purchase the PC they want. All products come with one year warranty, and an extra warranty is available at extra spend. The warranty price will be calculated during the purchase. \n\nWarranty Exclusions:\n- Not covered: Issues not due to material/workmanship defects, unauthorized modifications, improper use, negligence, accidents, or causes beyond DUMMY_PC's control.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\n===\n",1,1
How do I get a Return Merchandise Authorization (RMA) Number?,Contact: Customer Service for issue reporting and RMA number.,"===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nWarranty Claim Process:\n1. Obtain RMA Number:\n   - Contact: Customer Service for issue reporting and RMA number.\n   - Requirement: Display RMA number on package.\n2. Packaging and Shipping:\n   - Packaging: Secure to prevent transit damage.\n   - Address: DUMMY_PC, Attn: RMA#_______, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n   - Recommendation: Use traceable, insured shipping method. DUMMY_PC not liable for transit damage/loss.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\n===\n",1,1
How long is the standard warranty valid for a DUMMY_PC desktop computer?,"Standard Warranty (1-Year, $0): Validity: 1 year from purchase date.","===\nFinancing is not available. \n\nNo discounts or promotions going on right now. \n\nNo bundle deal for any PC. \n\nThere will be a free gaming mouse and a gaming keyboard comes with any type of pre-build system. \n\nUpgradability: All PCs were built using common consumer-level parts. Customers will be capable of upgrading any parts later. \n\nWe only sell Pre-built PCs currently, and no PC parts available for sell. \n\nTo place an order, customer can go to the website 'DUMMY_PC.com', and purchase the PC they want. All products come with one year warranty, and an extra warranty is available at extra spend. The warranty price will be calculated during the purchase. \n\nWarranty Policy\n\nOverview:\n- Purpose: To provide assurance for pre-built desktop computer purchases from DUMMY_PC.\n- Scope: Covers repair or replacement costs for covered issues.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\n===\n",0,0
Where should I send my computer if it needs repairs under warranty?,"Address: DUMMY_PC, Attn: RMA#_______, 111 S Baldwin Park Blvd, City of Industry, CA 91746.","===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nWarranty Coverage:\n1. Standard Warranty (1-Year, $0):\n   - Validity: 1 year from purchase date.\n   - Coverage: Defects in materials or workmanship under normal use.\n   - Service: Repair or replace defective parts at no charge.\n2. Extended Warranty Options:\n   - 2-Year Warranty ($159):\n     - Duration: 2 years from purchase date.\n     - Benefits: Same as Standard Warranty.\n   - 3-Year Warranty ($309):\n     - Duration: 3 years from purchase date.\n     - Benefits: Same as Standard Warranty.\n\nWarranty Policy\n\nOverview:\n- Purpose: To provide assurance for pre-built desktop computer purchases from DUMMY_PC.\n- Scope: Covers repair or replacement costs for covered issues.\n\nWarranty Claim Process:\n1. Obtain RMA Number:\n   - Contact: Customer Service for issue reporting and RMA number.\n   - Requirement: Display RMA number on package.\n2. Packaging and Shipping:\n   - Packaging: Secure to prevent transit damage.\n   - Address: DUMMY_PC, Attn: RMA#_______, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n   - Recommendation: Use traceable, insured shipping method. DUMMY_PC not liable for transit damage/loss.\n\n===\n",1,1
What should I do if my DUMMY_PC desktop computer has a defect in materials or workmanship within the first year of purchase?,Service: Repair or replace defective parts at no charge.,"===\nFinancing is not available. \n\nNo discounts or promotions going on right now. \n\nNo bundle deal for any PC. \n\nThere will be a free gaming mouse and a gaming keyboard comes with any type of pre-build system. \n\nUpgradability: All PCs were built using common consumer-level parts. Customers will be capable of upgrading any parts later. \n\nWe only sell Pre-built PCs currently, and no PC parts available for sell. \n\nTo place an order, customer can go to the website 'DUMMY_PC.com', and purchase the PC they want. All products come with one year warranty, and an extra warranty is available at extra spend. The warranty price will be calculated during the purchase. \n\nWarranty Policy\n\nOverview:\n- Purpose: To provide assurance for pre-built desktop computer purchases from DUMMY_PC.\n- Scope: Covers repair or replacement costs for covered issues.\n\nWarranty Exclusions:\n- Not covered: Issues not due to material/workmanship defects, unauthorized modifications, improper use, negligence, accidents, or causes beyond DUMMY_PC's control.\n\nWarranty Coverage:\n1. Standard Warranty (1-Year, $0):\n   - Validity: 1 year from purchase date.\n   - Coverage: Defects in materials or workmanship under normal use.\n   - Service: Repair or replace defective parts at no charge.\n2. Extended Warranty Options:\n   - 2-Year Warranty ($159):\n     - Duration: 2 years from purchase date.\n     - Benefits: Same as Standard Warranty.\n   - 3-Year Warranty ($309):\n     - Duration: 3 years from purchase date.\n     - Benefits: Same as Standard Warranty.\n\n===\n",1,1
What does the warranty exclude?,"Not covered: Issues not due to material/workmanship defects, unauthorized modifications, improper use, negligence, accidents, or causes beyond DUMMY_PC's control.","===\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nWarranty Exclusions:\n- Not covered: Issues not due to material/workmanship defects, unauthorized modifications, improper use, negligence, accidents, or causes beyond DUMMY_PC's control.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\n===\n",1,1
Is accidental damage covered by DUMMY_PC's warranty?,"Not covered: Issues not due to material/workmanship defects, unauthorized modifications, improper use, negligence, accidents, or causes beyond DUMMY_PC's control.","===\nWarranty Exclusions:\n- Not covered: Issues not due to material/workmanship defects, unauthorized modifications, improper use, negligence, accidents, or causes beyond DUMMY_PC's control.\n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\n===\n",1,1
What happens if parts are no longer available for my model under warranty?,"If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.","===\nFinancing is not available. \n\nNo discounts or promotions going on right now. \n\nNo bundle deal for any PC. \n\nThere will be a free gaming mouse and a gaming keyboard comes with any type of pre-build system. \n\nUpgradability: All PCs were built using common consumer-level parts. Customers will be capable of upgrading any parts later. \n\nWe only sell Pre-built PCs currently, and no PC parts available for sell. \n\nTo place an order, customer can go to the website 'DUMMY_PC.com', and purchase the PC they want. All products come with one year warranty, and an extra warranty is available at extra spend. The warranty price will be calculated during the purchase. \n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\nWarranty Exclusions:\n- Not covered: Issues not due to material/workmanship defects, unauthorized modifications, improper use, negligence, accidents, or causes beyond DUMMY_PC's control.\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\n===\n",1,1
What is the cost to repair or replace parts under the standard warranty?,Service: Repair or replace defective parts at no charge.,"===\nWarranty Coverage:\n1. Standard Warranty (1-Year, $0):\n   - Validity: 1 year from purchase date.\n   - Coverage: Defects in materials or workmanship under normal use.\n   - Service: Repair or replace defective parts at no charge.\n2. Extended Warranty Options:\n   - 2-Year Warranty ($159):\n     - Duration: 2 years from purchase date.\n     - Benefits: Same as Standard Warranty.\n   - 3-Year Warranty ($309):\n     - Duration: 3 years from purchase date.\n     - Benefits: Same as Standard Warranty.\n\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\n===\n",1,1
